TENKE FUNGURUME MINING,TFM,GECAMINES,20.00%,N/A
TENKE FUNGURUME MINING,TFM,TF Holdings Limited & autres,80.00%,"TF Holding Ltd a comme propriétaires réels Freeport-McMoRan Inc et Lundin Mining Corporation. Lundin Mining est cotée sur la bourse de Toronto TSX sous le symbole LUN, et sur la bourse de Stockholm OMX sous le symbole LUMI.
Freeport McMoRan est cotée sur la bourse de New York NYSE sous le symbole FCX."
KAMOTO COPPER COMPANY,KCC,GECAMINES,20.00%,N/A
KAMOTO COPPER COMPANY,KCC,Société Immobilière du Congo,5.00%,Detenue à 99% par la Gecamines et 1% par Kisenge Manganese
KAMOTO COPPER COMPANY,KCC,KFL Ltd,14.11%,Ces sociétés sont des filiales (100%) de Katanga Mining Limited qui est cotée à la bourse de Toronto. Katanga Mining Limited  est detenue à 75% par Glencore/Xstrata qui est également côtée à la bourse de Toronto.
KAMOTO COPPER COMPANY,KCC,Global Enterprise Corporate Ltd,20.00%,N/A
KAMOTO COPPER COMPANY,KCC,Katanga Mining Holdings Ltd,20.00%,N/A
KAMOTO COPPER COMPANY,KCC,Katanga Mining Finance Ltd,20.00%,N/A
KAMOTO COPPER COMPANY,KCC,KML (BVI) Holdco Ltd,0.89%,N/A
MUTANDA MINING,MUMI,SAMREF SA,80.00%,"Mumi est détenue à raison de 60% par Glencore, qui est société cotée en Bourse."
MUTANDA MINING,MUMI,ROWNY ASSETS SA,20.00%,N/A
BOSS MINING,BOSS,GECAMINES,30.00%,N/A
BOSS MINING,BOSS,"ENRC AFRICA HOLDINGS
ltd",70.00%,Société cotée à la bourse de Londres
RUASHI MINING,RUMI,GECAMINES,25.00%,N/A
RUASHI MINING,RUMI,Ruashi Holdings,75.00%,N/C
ANVIL MINING COMPAGNY KINSEVERE (AMCK --> MMG KINSEVERE,AMCK,MMG AFRICA INVESTMENTS LIMITED,99.99%,Filiale à 100% de MMG LIMITED (Côtée en bourse)
ANVIL MINING COMPAGNY KINSEVERE (AMCK --> MMG KINSEVERE,,ANVIL MINING LIMITED,0.01%,Filiale à 100% de MMG LIMITED (Côtée en bourse)
CHEMICAL OF AFRICA,CHEMAF,SHALINA RESSOURCES,99.68%,N/C
CHEMICAL OF AFRICA,CHEMAF,SHIRAZ VIRJI,0.19%,N/A
CHEMICAL OF AFRICA,CHEMAF,ABBAS VIRJI,0.13%,N/A
SOCIETE D'EXPLOITATION KIPOI,SEK,GECAMINES,40%,N/A
SOCIETE D'EXPLOITATION KIPOI,SEK,COMIN,60%,Société cotée en bourse
CONGO DONGFANG INTERNATIONAL MINING,CDM,"ZHEJIANG HUAYOU COBALT CO.,LTD",98.00%,N/C
CONGO DONGFANG INTERNATIONAL MINING,CDM,HUAYOU(HONGKONG) CO LTD,2.00%,N/A
GROUPE BAZANO,BAZANO,Katanga Development Ltd,50%,N/C
GROUPE BAZANO,BAZANO,Rogerson International Inc.,25%,N/A
